,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,defemders_beaten,try_assists,offloads,clean_breaks,lineouts_won,lineouts_stolen,at_home,name,mins_played,is_sub,position_num,playguid
0,113,16,10,0,0,0,2,11,0,2,1,0,0,1,Charles Piutau,63,0,15,CP633928
1,9,4,1,6,0,0,1,2,0,0,0,0,0,1,Niyi Adeolokun,80,0,14,NA457420
2,34,7,6,3,2,0,2,2,0,0,0,0,0,1,Piers O'Conor,80,0,13,PO451364
3,19,8,10,5,1,0,3,0,0,0,0,0,0,1,Alapati Leiua,80,0,12,AL417590
4,26,6,3,1,1,0,1,0,0,0,0,0,0,1,Ioan Lloyd,59,0,11,IL562145
5,20,6,31,4,2,0,0,1,0,0,0,0,0,1,Callum Sheedy,80,0,10,CS506075
6,18,6,60,2,1,0,1,0,0,0,0,0,0,1,Andy Uren,68,0,9,AU529251
7,0,4,0,7,2,0,0,0,0,0,0,0,0,1,Jake Woolmore,59,0,1,JW511503
8,45,11,3,6,2,0,1,5,0,0,1,0,0,1,Harry Thacker,59,0,2,HT779571
9,0,4,0,2,0,0,0,0,0,0,0,0,0,1,Max Lahiff,63,0,3,ML914436
10,33,6,4,10,0,0,0,2,0,0,0,5,1,1,Ed Holmes,70,0,4,SH571540
11,8,9,2,5,0,1,1,0,0,0,0,2,0,1,Chris Vui,80,0,5,CV953897
12,13,8,6,7,0,1,1,0,0,0,0,1,1,1,Steven Luatua,75,0,6,SL742452
13,2,7,5,8,3,1,1,0,0,0,0,0,0,1,Daniel Thomas,80,0,7,DT850621
14,11,14,6,3,0,1,2,3,0,2,0,1,0,1,Nathan Hughes,80,0,8,NH997502
15,7,5,2,0,0,0,1,0,0,0,0,0,0,1,Will Capon,21,1,2,WC487996
16,0,2,0,1,0,0,0,0,0,0,0,0,0,1,Yann Thomas,21,1,1,YT739953
17,0,1,1,2,0,0,0,0,0,0,0,0,0,1,Jake Armstrong,17,1,3,JA764978
18,0,0,2,0,0,0,0,0,0,0,0,2,0,1,Dave Attwood,10,1,4,DA784228
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jake Heenan,5,1,6,JH133700
20,28,4,15,1,0,0,0,2,0,0,1,0,0,1,Harry Randall,17,1,15,HR101296
21,2,2,1,1,0,0,0,0,0,0,0,0,0,1,Sam Bedlow,12,1,9,SB430769
22,8,2,1,2,0,0,0,0,0,0,0,0,0,1,Jack Bates,21,1,11,JB641766
23,34,4,1,2,1,0,1,0,0,0,0,0,0,0,Elliot Obatoyinbo,80,0,15,EO460230
24,18,2,1,4,3,0,2,3,0,0,1,0,0,0,Alex Lewington,80,0,14,AL809249
25,0,2,0,7,1,1,0,0,0,0,0,0,0,0,Dominic Morris,75,0,13,DM369563
26,14,6,6,10,1,0,1,8,0,0,0,0,0,0,Nick Tompkins,80,0,12,NT897139
27,0,1,0,6,3,0,0,0,0,0,0,0,0,0,Rotimi Segun,75,0,11,RS863129
28,0,4,7,17,1,0,1,0,1,0,0,0,0,0,Alex Lozowski,80,0,10,AL146980
29,3,3,31,5,1,0,0,2,0,0,0,0,0,0,Aled Davies,74,0,9,AD709542
30,3,2,3,11,1,0,0,0,0,1,0,0,0,0,Ralph Adams-Hale,52,0,1,RA721847
31,13,6,2,9,3,2,0,0,0,1,0,0,0,0,Tom Woolstencroft,74,0,2,TW899795
32,1,2,1,7,2,1,0,0,0,0,0,0,0,0,Marco Riccioni,55,0,3,MR621017
33,2,1,3,10,0,0,0,0,0,0,0,10,0,0,Nick Isiekwe,80,0,4,NI437601
34,0,3,0,5,1,0,1,0,0,0,0,0,0,0,Tim Swinson,63,0,5,TS662989
35,21,9,0,6,0,0,1,0,0,0,0,1,0,0,Jackson Wray,80,0,6,JW399145
36,5,1,0,14,5,1,1,0,0,0,0,0,0,0,Ben Earl,70,0,7,BE558129
37,18,9,9,12,3,2,1,1,0,3,0,0,0,0,Billy Vunipola,80,0,8,VV741662
38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Kapeli Pifeleti,6,1,2,KP788882
39,4,1,0,6,1,0,0,0,0,0,0,0,0,0,Richard Barrington,28,1,1,RB473504
40,0,0,1,6,0,0,0,0,0,0,0,0,0,0,Alec Clarey,25,1,3,AC448407
41,5,2,0,1,0,0,0,0,0,0,0,0,0,0,Callum Hunter-Hill,17,1,5,CH461248
42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Sean Reffell,10,1,7,SR714658
43,4,1,2,0,0,0,1,0,0,0,0,0,0,0,Joe Simpson,6,1,9,JS782283
44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Manu Vunipola,5,1,13,MV922621
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Harris,5,1,11,BH948707
46,88,15,3,1,3,0,0,3,0,1,3,0,0,1,Freddie Steward,80,0,15,FS380018
47,18,5,1,13,4,0,1,0,0,1,0,0,0,1,Harry Potter,80,0,14,HP136103
48,7,3,3,11,0,1,0,1,0,0,1,0,0,1,Matt Scott,80,0,13,MS156720
49,0,0,8,10,2,0,1,0,0,0,0,0,0,1,Dan Kelly,68,0,12,DK663093
50,84,8,4,4,1,2,1,5,0,3,3,0,0,1,Nemani Nadolo,80,0,11,RN208925
51,0,1,19,4,1,0,0,0,1,0,0,0,0,1,George Ford,65,0,10,GF392165
52,7,4,27,5,1,1,3,0,1,0,0,0,0,1,Ben Youngs,48,0,9,BY523643
